order_id,customer_id,order_date,order_amount,payment_id,payment_date,payment_amount,payment_method,payment_status,payment_count,settlement_id,settlement_date,settlement_amount,fee,adjustment,settlement_status,settlement_count,scenario
ORD000034,CUST0161,2026-08-13,299,PAY000034,2026-08-13,299.0,UPI,Success,1,SET000034,2026-08-14,296.01,2.99,0.0,Settled,1,normal
ORD000035,CUST0117,2026-08-04,3473,PAY000035,2026-08-05,3473.0,Wallet,Success,2,SET000035,2026-08-06,3410.49,62.51,0.0,Settled,1,duplicate_payment
ORD000036,CUST0092,2026-08-17,13342,PAY000036,2026-08-18,10736.21,Netbanking,Success,1,SET000036,2026-08-19,10575.17,161.04,0.0,Settled,1,payment_amount_mismatch
ORD000037,CUST0271,2026-08-27,2499,PAY000037,2026-08-28,2499.0,UPI,Success,1,SET000037,2026-08-29,2474.01,24.99,0.0,Settled,2,duplicate_settlement
ORD000038,CUST0229,2026-08-23,2018,PAY000038,2026-08-24,1781.38,Card,Success,1,SET000038,2026-08-25,1745.75,35.63,0.0,Settled,1,payment_amount_mismatch
ORD000039,CUST0179,2026-08-14,999,PAY000039,2026-08-14,999.0,UPI,Success,1,SET000039,2026-08-15,989.01,9.99,0.0,Settled,1,normal
ORD000040,CUST0029,2026-08-23,2999,PAY000040,2026-08-24,2999.0,Card,Success,1,SET000040,2026-08-28,2939.02,59.98,0.0,Settled,1,delayed_settlement
ORD000041,CUST0211,2026-08-18,799,PAY000041,2026-08-18,799.0,Wallet,Success,1,SET000041,2026-08-19,784.62,14.38,0.0,Settled,1,normal
ORD000042,CUST0111,2026-08-29,1999,PAY000042,2026-08-30,1999.0,UPI,Success,1,SET000042,2026-08-31,1979.01,19.99,0.0,Settled,1,normal
ORD000043,CUST0033,2026-08-18,6082,PAY000043,2026-08-19,6082.0,Card,Success,1,SET000043,2026-08-20,5960.36,121.64,0.0,Settled,1,normal
ORD000044,CUST0232,2026-08-14,7060,PAY000044,2026-08-15,7060.0,Netbanking,Success,1,SET000044,2026-08-16,6954.1,105.9,0.0,Settled,1,normal
ORD000045,CUST0125,2026-08-22,799,PAY000045,2026-08-23,799.0,UPI,Success,1,SET000045,2026-08-24,791.01,7.99,0.0,Settled,1,normal
ORD000046,CUST0167,2026-08-11,9999,PAY000046,2026-08-12,9999.0,Wallet,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000047,CUST0047,2026-08-05,499,PAY000047,2026-08-05,499.0,Netbanking,Success,1,SET000047,2026-08-06,491.52,7.48,0.0,Settled,1,normal
ORD000048,CUST0107,2026-08-17,2999,PAY000048,2026-08-18,2999.0,Netbanking,Success,1,SET000048,2026-08-19,2651.02,44.98,0.0,Settled,1,settlement_amount_mismatch
ORD000049,CUST0214,2026-08-02,1499,PAY000049,2026-08-02,1499.0,Wallet,Success,1,SET000049,2026-08-03,1472.02,26.98,0.0,Settled,1,normal
ORD000050,CUST0038,2026-08-12,999,PAY000050,2026-08-13,999.0,Card,Success,1,SET000050,2026-08-14,979.02,19.98,0.0,Settled,1,processing_fee
ORD000051,CUST0203,2026-08-22,2999,PAY000051,2026-08-23,2999.0,Wallet,Success,2,SET000051,2026-08-24,2945.02,53.98,0.0,Settled,1,duplicate_payment
ORD000052,CUST0274,2026-08-31,1999,PAY000052,2026-08-31,1999.0,Wallet,Success,1,SET000052,2026-09-01,1963.02,35.98,0.0,Settled,1,normal
ORD000053,CUST0204,2026-08-04,999,PAY000053,2026-08-04,862.75,Netbanking,Success,1,SET000053,2026-08-05,849.81,12.94,0.0,Settled,1,payment_amount_mismatch
ORD000054,CUST0081,2026-08-17,1499,PAY000054,2026-08-18,1499.0,Card,Success,1,SET000054,2026-08-19,1469.02,29.98,0.0,Settled,1,normal
ORD000055,CUST0222,2026-08-27,799,PAY000055,2026-08-28,799.0,UPI,Success,1,SET000055,2026-08-29,791.01,7.99,0.0,Settled,1,normal
ORD000056,CUST0291,2026-08-11,5444,PAY000056,2026-08-11,5444.0,Wallet,Success,1,SET000056,2026-08-12,4150.01,97.99,0.0,Settled,1,settlement_amount_mismatch
ORD000057,CUST0087,2026-08-27,1999,PAY000057,2026-08-28,1999.0,UPI,Success,1,SET000057,2026-08-29,1979.01,19.99,0.0,Settled,1,normal
ORD000058,CUST0046,2026-08-01,299,PAY000058,2026-08-02,299.0,Wallet,Success,1,SET000058,2026-08-03,293.62,5.38,0.0,Settled,1,normal
ORD000059,CUST0170,2026-08-21,4999,PAY000059,2026-08-22,4999.0,Card,Success,1,SET000059,2026-08-26,4899.02,99.98,0.0,Settled,1,delayed_settlement
ORD000060,CUST0218,2026-08-08,5999,PAY000060,2026-08-08,5999.0,UPI,Success,1,SET000060,2026-08-09,5939.01,59.99,0.0,Settled,1,normal
ORD000061,CUST0268,2026-08-01,3999,PAY000061,2026-08-02,3999.0,Wallet,Success,1,SET000061,2026-08-03,3927.02,71.98,0.0,Settled,1,normal
ORD000062,CUST0295,2026-08-10,14667,PAY000062,2026-08-11,14667.0,Netbanking,Success,1,SET000062,2026-08-12,14447.0,220.0,0.0,Settled,1,normal
ORD000063,CUST0026,2026-08-24,8171,PAY000063,2026-08-24,8171.0,Wallet,Success,1,SET000063,2026-08-25,8023.92,147.08,0.0,Settled,1,normal
ORD000064,CUST0266,2026-08-21,9999,PAY000064,2026-08-21,9999.0,Netbanking,Success,1,SET000064,2026-08-22,9849.02,149.98,0.0,Settled,1,normal
ORD000065,CUST0290,2026-08-07,1999,PAY000065,2026-08-08,1999.0,Card,Success,1,SET000065,2026-08-13,1959.02,39.98,0.0,Settled,1,delayed_settlement
ORD000066,CUST0288,2026-08-11,14808,PAY000066,2026-08-11,14808.0,Netbanking,Success,1,SET000066,2026-08-12,14585.88,222.12,0.0,Settled,1,normal
ORD000067,CUST0162,2026-08-21,5999,PAY000067,2026-08-22,5999.0,Netbanking,Success,1,SET000067,2026-08-23,5909.02,89.98,0.0,Settled,1,normal
ORD000068,CUST0280,2026-08-03,999,PAY000068,2026-08-04,999.0,UPI,Success,1,SET000068,2026-08-05,989.01,9.99,0.0,Settled,1,normal
ORD000069,CUST0017,2026-08-24,2999,PAY000069,2026-08-24,2999.0,Card,Success,1,SET000069,2026-08-25,2939.02,59.98,0.0,Settled,1,normal
ORD000070,CUST0156,2026-08-09,2999,PAY000070,2026-08-09,2999.0,Netbanking,Success,1,SET000070,2026-08-10,2954.02,44.98,0.0,Settled,1,processing_fee
ORD000071,CUST0255,2026-08-08,2499,PAY000071,2026-08-09,2499.0,Card,Success,1,SET000071,2026-08-10,2449.02,49.98,0.0,Settled,1,normal
ORD000072,CUST0123,2026-08-01,499,PAY000072,2026-08-01,499.0,UPI,Success,1,SET000072,2026-08-02,494.01,4.99,0.0,Settled,1,normal
ORD000073,CUST0177,2026-08-05,1499,PAY000073,2026-08-06,1499.0,UPI,Success,1,SET000073,2026-08-13,1484.01,14.99,0.0,Settled,1,delayed_settlement
ORD000074,CUST0151,2026-08-24,999,PAY000074,2026-08-25,999.0,Netbanking,Success,1,SET000074,2026-08-26,984.02,14.98,0.0,Settled,1,normal
ORD000075,CUST0219,2026-08-22,499,PAY000075,2026-08-22,499.0,Wallet,Success,1,SET000075,2026-08-23,490.02,8.98,0.0,Settled,1,normal
ORD000076,CUST0250,2026-08-16,2999,PAY000076,2026-08-16,2999.0,UPI,Success,2,SET000076,2026-08-17,2969.01,29.99,0.0,Settled,1,duplicate_payment
ORD000077,CUST0193,2026-08-25,9999,PAY000077,2026-08-26,9999.0,Card,Success,1,SET000077,2026-08-27,9799.02,199.98,0.0,Settled,1,normal
ORD000078,CUST0055,2026-08-13,999,PAY000078,2026-08-14,999.0,UPI,Success,1,SET000078,2026-08-15,989.01,9.99,0.0,Settled,1,processing_fee
ORD000079,CUST0051,2026-08-26,12665,PAY000079,2026-08-26,12665.0,Wallet,Success,1,SET000079,2026-08-27,12437.03,227.97,0.0,Settled,1,normal
ORD000080,CUST0066,2026-08-29,2999,PAY000080,2026-08-29,2999.0,Netbanking,Success,1,SET000080,2026-08-30,2954.02,44.98,0.0,Settled,1,normal
ORD000081,CUST0136,2026-08-17,7499,PAY000081,2026-08-18,7499.0,Wallet,Success,1,SET000081,2026-08-19,7364.02,134.98,0.0,Settled,1,normal
ORD000082,CUST0064,2026-08-27,5999,PAY000082,2026-08-27,5999.0,UPI,Success,1,SET000082,2026-08-28,5939.01,59.99,0.0,Settled,1,normal
ORD000083,CUST0184,2026-08-15,5999,PAY000083,2026-08-15,5999.0,Netbanking,Success,1,SET000083,2026-08-16,5909.02,89.98,0.0,Settled,1,normal
ORD000084,CUST0160,2026-08-11,3999,PAY000084,2026-08-12,3999.0,UPI,Success,1,SET000084,2026-08-13,3739.01,39.99,0.0,Settled,1,settlement_amount_mismatch
ORD000085,CUST0299,2026-08-13,2999,PAY000085,2026-08-13,2999.0,UPI,Success,1,SET000085,2026-08-14,2969.01,29.99,0.0,Settled,1,normal
ORD000086,CUST0276,2026-08-27,5999,PAY000086,2026-08-27,5999.0,Netbanking,Success,1,SET000086,2026-08-28,5909.02,89.98,0.0,Settled,1,normal
ORD000087,CUST0246,2026-08-17,9999,PAY000087,2026-08-17,9999.0,UPI,Success,1,SET000087,2026-08-18,9899.01,99.99,0.0,Settled,1,normal
ORD000088,CUST0109,2026-08-22,4178,PAY000088,2026-08-22,4178.0,UPI,Success,2,SET000088,2026-08-23,4136.22,41.78,0.0,Settled,1,duplicate_payment
ORD000089,CUST0116,2026-08-15,2539,PAY000089,2026-08-16,2539.0,Card,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000090,CUST0241,2026-08-12,4999,PAY000090,2026-08-12,4999.0,Netbanking,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000091,CUST0029,2026-08-02,299,PAY000091,2026-08-03,299.0,UPI,Success,1,SET000091,2026-08-04,296.01,2.99,0.0,Settled,1,processing_fee
ORD000092,CUST0150,2026-08-30,9528,PAY000092,2026-08-31,9528.0,Wallet,Success,1,SET000092,2026-09-01,9356.5,171.5,0.0,Settled,1,processing_fee
ORD000093,CUST0284,2026-08-08,5999,PAY000093,2026-08-09,5379.76,Wallet,Success,1,SET000093,2026-08-10,5282.92,96.84,0.0,Settled,1,payment_amount_mismatch
ORD000094,CUST0279,2026-08-19,13345,PAY000094,2026-08-20,13345.0,Wallet,Success,1,SET000094,2026-08-21,13104.79,240.21,0.0,Settled,1,normal
ORD000095,CUST0112,2026-08-15,1499,PAY000095,2026-08-15,1499.0,Netbanking,Success,1,SET000095,2026-08-16,1476.52,22.48,0.0,Settled,1,normal
ORD000096,CUST0034,2026-08-25,13405,PAY000096,2026-08-25,13405.0,Card,Success,1,SET000096,2026-08-26,13136.9,268.1,0.0,Settled,1,normal
ORD000097,CUST0035,2026-08-18,3459,PAY000097,2026-08-19,3459.0,Wallet,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000098,CUST0258,2026-08-11,7585,PAY000098,2026-08-11,7585.0,Card,Success,1,SET000098,2026-08-12,7433.3,151.7,0.0,Settled,1,normal
ORD000099,CUST0095,2026-08-01,5999,PAY000099,2026-08-02,5999.0,UPI,Success,1,SET000099,2026-08-03,5939.01,59.99,0.0,Settled,1,normal
ORD000100,CUST0039,2026-08-22,9999,PAY000100,2026-08-23,9999.0,Card,Success,1,SET000100,2026-08-24,9799.02,199.98,0.0,Settled,1,normal
ORD000101,CUST0185,2026-08-13,4210,PAY000101,2026-08-13,4210.0,UPI,Success,1,SET000101,2026-08-14,4167.9,42.1,0.0,Settled,1,normal
ORD000102,CUST0150,2026-08-20,5999,PAY000102,2026-08-20,5999.0,Wallet,Success,1,SET000102,2026-08-21,5891.02,107.98,0.0,Settled,1,normal
ORD000103,CUST0297,2026-08-24,2499,PAY000103,2026-08-24,2499.0,Card,Success,1,SET000103,2026-08-25,2449.02,49.98,0.0,Settled,1,normal
ORD000104,CUST0050,2026-08-14,4999,PAY000104,2026-08-15,4999.0,Card,Success,1,SET000104,2026-08-16,4899.02,99.98,0.0,Settled,1,processing_fee
ORD000105,CUST0163,2026-08-04,3103,PAY000105,2026-08-05,3103.0,Netbanking,Success,1,SET000105,2026-08-06,3056.45,46.55,0.0,Settled,1,normal
ORD000106,CUST0042,2026-08-02,3999,PAY000106,2026-08-03,3999.0,UPI,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000107,CUST0088,2026-08-05,13459,PAY000107,2026-08-05,13459.0,Card,Success,1,SET000107,2026-08-06,13189.82,269.18,0.0,Settled,1,processing_fee
ORD000108,CUST0238,2026-08-04,9214,PAY000108,2026-08-05,9214.0,Wallet,Success,1,SET000108,2026-08-09,9048.15,165.85,0.0,Settled,1,delayed_settlement
ORD000109,CUST0269,2026-08-30,999,PAY000109,2026-08-30,999.0,Wallet,Success,1,SET000109,2026-08-31,981.02,17.98,0.0,Settled,1,normal
ORD000110,CUST0223,2026-08-10,1999,PAY000110,2026-08-11,1999.0,Netbanking,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000111,CUST0014,2026-08-14,7137,PAY000111,2026-08-15,7137.0,Card,Success,1,SET000111,2026-08-16,6994.26,142.74,0.0,Settled,1,processing_fee
ORD000112,CUST0106,2026-08-09,9999,PAY000112,2026-08-09,9999.0,Netbanking,Success,1,SET000112,2026-08-10,9849.02,149.98,0.0,Settled,1,normal
ORD000113,CUST0152,2026-08-19,1766,PAY000113,2026-08-19,1766.0,UPI,Success,1,SET000113,2026-08-20,1748.34,17.66,0.0,Settled,1,normal
ORD000114,CUST0073,2026-08-15,4999,PAY000114,2026-08-16,4999.0,Card,Success,1,SET000114,2026-08-17,4899.02,99.98,0.0,Settled,1,normal
ORD000115,CUST0005,2026-08-27,3999,PAY000115,2026-08-27,3999.0,Card,Success,1,SET000115,2026-08-28,3919.02,79.98,0.0,Settled,1,normal
ORD000116,CUST0186,2026-08-30,3285,PAY000116,2026-08-31,3285.0,Card,Success,1,SET000116,2026-09-01,3219.3,65.7,0.0,Settled,1,normal
ORD000117,CUST0257,2026-08-29,9206,PAY000117,2026-08-29,9206.0,Netbanking,Success,1,SET000117,2026-08-30,9067.91,138.09,0.0,Settled,1,normal
ORD000118,CUST0154,2026-08-07,4999,PAY000118,2026-08-07,4999.0,Netbanking,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000119,CUST0173,2026-08-16,2499,PAY000119,2026-08-17,2499.0,Card,Success,1,SET000119,2026-08-18,2449.02,49.98,0.0,Settled,2,duplicate_settlement
ORD000120,CUST0241,2026-08-17,3999,PAY000120,2026-08-17,3999.0,Card,Success,1,SET000120,2026-08-18,3919.02,79.98,0.0,Settled,1,normal
ORD000121,CUST0153,2026-08-15,4886,PAY000121,2026-08-16,4886.0,Card,Success,1,SET000121,2026-08-17,4788.28,97.72,0.0,Settled,1,normal
ORD000122,CUST0050,2026-08-26,11859,PAY000122,2026-08-27,11859.0,Wallet,Success,1,SET000122,2026-08-28,11645.54,213.46,0.0,Settled,1,normal
ORD000123,CUST0224,2026-08-14,1600,PAY000123,2026-08-15,1600.0,Card,Failed,1,,,,0.0,0.0,Not Applicable,1,failed_payment
ORD000124,CUST0078,2026-08-26,1499,PAY000124,2026-08-26,1499.0,UPI,Success,1,SET000124,2026-08-27,1484.01,14.99,0.0,Settled,1,normal
ORD000125,CUST0268,2026-08-11,3877,PAY000125,2026-08-11,3877.0,Card,Success,1,SET000125,2026-08-12,3799.46,77.54,0.0,Settled,1,normal
ORD000126,CUST0246,2026-08-12,2102,PAY000126,2026-08-13,2102.0,Card,Success,2,SET000126,2026-08-14,2059.96,42.04,0.0,Settled,1,duplicate_payment
ORD000127,CUST0034,2026-08-14,11364,PAY000127,2026-08-14,11364.0,Card,Success,1,SET000127,2026-08-15,11136.72,227.28,0.0,Settled,1,normal
ORD000128,CUST0207,2026-08-25,799,PAY000128,2026-08-25,799.0,Netbanking,Success,1,SET000128,2026-08-26,787.02,11.98,0.0,Settled,1,normal
ORD000129,CUST0016,2026-08-11,4783,PAY000129,2026-08-11,4019.19,Card,Success,1,SET000129,2026-08-12,3938.81,80.38,0.0,Settled,1,payment_amount_mismatch
ORD000130,CUST0198,2026-08-27,1499,PAY000130,2026-08-27,1499.0,UPI,Success,1,SET000130,2026-08-28,1484.01,14.99,0.0,Settled,2,duplicate_settlement
ORD000131,CUST0210,2026-08-16,9999,PAY000131,2026-08-17,9999.0,Wallet,Success,1,SET000131,2026-08-18,9819.02,179.98,0.0,Settled,1,normal
ORD000132,CUST0126,2026-08-01,799,PAY000132,2026-08-01,799.0,Netbanking,Success,1,SET000132,2026-08-02,570.02,11.98,0.0,Settled,1,settlement_amount_mismatch
ORD000133,CUST0231,2026-08-24,299,PAY000133,2026-08-25,299.0,UPI,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000134,CUST0101,2026-08-11,299,PAY000134,2026-08-12,299.0,Wallet,Success,2,SET000134,2026-08-13,293.62,5.38,0.0,Settled,1,duplicate_payment
ORD000135,CUST0153,2026-08-12,5694,PAY000135,2026-08-12,5694.0,Card,Success,1,SET000135,2026-08-13,5580.12,113.88,0.0,Settled,1,normal
ORD000136,CUST0211,2026-08-15,1999,PAY000136,2026-08-15,1999.0,Wallet,Success,1,SET000136,2026-08-16,1963.02,35.98,0.0,Settled,1,normal
ORD000137,CUST0252,2026-08-31,1499,PAY000137,2026-08-31,1499.0,Card,Success,1,SET000137,2026-09-01,1469.02,29.98,0.0,Settled,1,processing_fee
ORD000138,CUST0239,2026-08-14,6978,PAY000138,2026-08-15,6978.0,UPI,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000139,CUST0136,2026-08-22,10744,PAY000139,2026-08-23,10744.0,UPI,Success,1,SET000139,2026-08-24,10636.56,107.44,0.0,Settled,1,normal
ORD000140,CUST0243,2026-08-16,3999,PAY000140,2026-08-17,3999.0,UPI,Success,1,SET000140,2026-08-18,3959.01,39.99,0.0,Settled,1,normal
ORD000141,CUST0079,2026-08-05,1499,PAY000141,2026-08-06,1499.0,UPI,Success,1,SET000141,2026-08-07,1484.01,14.99,0.0,Settled,1,processing_fee
ORD000142,CUST0043,2026-08-07,4999,PAY000142,2026-08-07,4999.0,Wallet,Failed,1,,,,0.0,0.0,Not Applicable,1,failed_payment
ORD000143,CUST0238,2026-08-09,999,PAY000143,2026-08-10,999.0,UPI,Success,1,SET000143,2026-08-11,989.01,9.99,0.0,Settled,1,normal
ORD000144,CUST0266,2026-08-06,3999,PAY000144,2026-08-07,3999.0,Netbanking,Success,2,SET000144,2026-08-08,3939.02,59.98,0.0,Settled,1,duplicate_payment
ORD000145,CUST0021,2026-08-31,2499,PAY000145,2026-08-31,2499.0,Netbanking,Success,1,SET000145,2026-09-01,2461.52,37.48,0.0,Settled,1,normal
ORD000146,CUST0171,2026-08-09,2499,PAY000146,2026-08-09,2499.0,Wallet,Success,1,SET000146,2026-08-10,2454.02,44.98,0.0,Settled,1,normal
ORD000147,CUST0212,2026-08-28,2613,PAY000147,2026-08-29,2613.0,UPI,Success,1,SET000147,2026-08-30,2586.87,26.13,0.0,Settled,1,normal
ORD000148,CUST0059,2026-08-25,2499,PAY000148,2026-08-25,2499.0,UPI,Success,1,SET000148,2026-08-26,2474.01,24.99,0.0,Settled,1,normal
ORD000149,CUST0230,2026-08-15,499,PAY000149,2026-08-15,499.0,Wallet,Success,1,SET000149,2026-08-16,490.02,8.98,0.0,Settled,1,normal
ORD000150,CUST0028,2026-08-07,799,PAY000150,2026-08-08,799.0,Card,Success,1,SET000150,2026-08-09,783.02,15.98,0.0,Settled,1,processing_fee
ORD000151,CUST0126,2026-08-19,1999,PAY000151,2026-08-19,1999.0,Netbanking,Success,1,SET000151,2026-08-20,1969.02,29.98,0.0,Settled,1,normal
ORD000152,CUST0232,2026-08-09,2499,PAY000152,2026-08-10,2499.0,Wallet,Success,1,SET000152,2026-08-11,2454.02,44.98,0.0,Settled,1,normal
ORD000153,CUST0029,2026-08-09,499,PAY000153,2026-08-10,499.0,Card,Success,1,SET000153,2026-08-11,489.02,9.98,0.0,Settled,1,normal
ORD000154,CUST0115,2026-08-26,799,PAY000154,2026-08-26,799.0,UPI,Success,1,SET000154,2026-08-27,791.01,7.99,0.0,Settled,1,normal
ORD000155,CUST0037,2026-08-26,2499,PAY000155,2026-08-27,2499.0,Card,Success,1,SET000155,2026-08-28,2449.02,49.98,0.0,Settled,1,processing_fee
ORD000156,CUST0293,2026-08-25,4859,PAY000156,2026-08-25,4859.0,UPI,Success,1,SET000156,2026-08-26,4810.41,48.59,0.0,Settled,1,processing_fee
ORD000157,CUST0117,2026-08-28,499,PAY000157,2026-08-28,499.0,UPI,Success,1,SET000157,2026-09-03,494.01,4.99,0.0,Settled,1,delayed_settlement
ORD000158,CUST0246,2026-08-04,9999,PAY000158,2026-08-04,9999.0,Card,Success,1,SET000158,2026-08-11,9799.02,199.98,0.0,Settled,1,delayed_settlement
ORD000159,CUST0208,2026-08-16,799,PAY000159,2026-08-17,799.0,Card,Success,1,SET000159,2026-08-18,783.02,15.98,0.0,Settled,1,processing_fee
ORD000160,CUST0230,2026-08-23,4999,PAY000160,2026-08-24,4743.81,Netbanking,Success,1,SET000160,2026-08-25,4672.65,71.16,0.0,Settled,1,payment_amount_mismatch
ORD000161,CUST0286,2026-08-18,12673,PAY000161,2026-08-19,12673.0,Wallet,Success,1,SET000161,2026-08-20,12444.89,228.11,0.0,Settled,1,processing_fee
ORD000162,CUST0300,2026-08-14,4027,PAY000162,2026-08-15,4027.0,Card,Success,1,SET000162,2026-08-16,3946.46,80.54,0.0,Settled,1,normal
ORD000163,CUST0118,2026-08-12,1499,PAY000163,2026-08-13,1499.0,Card,Success,1,SET000163,2026-08-14,1469.02,29.98,0.0,Settled,1,normal
ORD000164,CUST0055,2026-08-21,299,PAY000164,2026-08-21,299.0,Wallet,Success,1,SET000164,2026-08-22,293.62,5.38,0.0,Settled,1,normal
ORD000165,CUST0022,2026-08-21,348,PAY000165,2026-08-22,348.0,Wallet,Failed,1,,,,0.0,0.0,Not Applicable,1,failed_payment
