order_id,reconciliation_status,exception_type,exception_description,expected_settlement,actual_settlement,difference,warning,ai_required
ORD000053,RECONCILED,,,9707.88,9707.88,0.0,,False
ORD000054,RECONCILED,,,1476.52,1476.52,0.0,,False
ORD000055,RECONCILED,,,4924.02,4924.02,0.0,,False
ORD000056,RECONCILED,,,3939.02,3939.02,0.0,,False
ORD000057,EXCEPTION,PAYMENT_NOT_SUCCESSFUL,Payment was not successful.,,,,,False
ORD000058,RECONCILED,,,2939.02,2939.02,0.0,,False
ORD000059,RECONCILED,,,984.02,984.02,0.0,,False
ORD000060,RECONCILED,,,1629.54,1629.54,0.0,,False
ORD000061,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000062,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000063,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1476.52, but actual settlement is 1259.52. Difference is 217.00.",1476.52,1259.52,217.0,,True
ORD000064,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 981.02, but actual settlement is 746.02. Difference is 235.00.",981.02,746.02,235.0,,True
ORD000065,RECONCILED,,,5879.02,5879.02,0.0,,False
ORD000066,RECONCILED,,,7820.9,7820.9,0.0,,False
ORD000067,RECONCILED,,,787.02,787.02,0.0,,False
ORD000068,RECONCILED,,,1476.52,1476.52,0.0,,False
ORD000069,RECONCILED,,,1469.02,1469.02,0.0,,False
ORD000070,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7349.02, but actual settlement is 6439.02. Difference is 910.00.",7349.02,6439.02,910.0,,True
ORD000071,RECONCILED,,,7854.39,7854.39,0.0,,False
ORD000072,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 6881.00, but payment amount is 5683.33.",,,,,True
ORD000073,RECONCILED,,,7424.01,7424.01,0.0,,False
ORD000074,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000075,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 6058.36, but actual settlement is 5378.36. Difference is 680.00.",6058.36,5378.36,680.0,,True
ORD000076,RECONCILED,,,5939.01,5939.01,0.0,,False
ORD000077,RECONCILED,,,1484.01,1484.01,0.0,,False
ORD000078,RECONCILED,,,9213.96,9213.96,0.0,,False
ORD000079,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000080,RECONCILED,,,8694.63,8694.63,0.0,,False
ORD000081,RECONCILED,,,494.01,494.01,0.0,,False
ORD000082,RECONCILED,,,489.02,489.02,0.0,,False
ORD000083,RECONCILED,,,979.02,979.02,0.0,,False
ORD000084,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000085,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000086,RECONCILED,,,494.01,494.01,0.0,,False
ORD000087,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 787.02, but actual settlement is 577.02. Difference is 210.00.",787.02,577.02,210.0,,True
ORD000088,RECONCILED,,,1476.52,1476.52,0.0,,False
ORD000089,RECONCILED,,,6437.97,6437.97,0.0,,False
ORD000090,RECONCILED,,,10081.21,10081.21,0.0,,False
ORD000091,RECONCILED,,,5939.01,5939.01,0.0,,False
ORD000092,RECONCILED,,,3927.02,3927.02,0.0,,False
ORD000093,RECONCILED,,,9849.02,9849.02,0.0,,False
ORD000094,RECONCILED,,,9819.02,9819.02,0.0,,False
ORD000095,RECONCILED,,,1963.02,1963.02,0.0,,False
ORD000096,RECONCILED,,,8186.93,8186.93,0.0,,False
ORD000097,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000098,RECONCILED,,,11429.94,11429.94,0.0,,False
ORD000099,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000100,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 9999.00, but payment amount is 9199.75.",,,,,True
ORD000101,RECONCILED,,,296.01,296.01,0.0,,False
ORD000102,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7364.02, but actual settlement is 6470.02. Difference is 894.00.",7364.02,6470.02,894.0,,True
ORD000103,RECONCILED,,,7785.44,7785.44,0.0,,False
ORD000104,RECONCILED,,,9849.02,9849.02,0.0,,False
ORD000105,RECONCILED,,,14063.94,14063.94,0.0,,False
ORD000106,RECONCILED,,,2461.52,2461.52,0.0,,False
ORD000107,RECONCILED,,,12225.5,12225.5,0.0,,False
ORD000108,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000109,RECONCILED,,,13446.58,13446.58,0.0,,False
ORD000110,RECONCILED,,,5409.62,5409.62,0.0,,False
ORD000111,RECONCILED,,,2524.55,2524.55,0.0,Settlement occurred 6 days after payment.,False
ORD000112,RECONCILED,,,4630.23,4630.23,0.0,,False
ORD000113,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000114,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 2499.00, but payment amount is 2104.16.",,,,,True
ORD000115,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 2449.02, but actual settlement is 1887.02. Difference is 562.00.",2449.02,1887.02,562.0,,True
ORD000116,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000117,RECONCILED,,,2969.01,2969.01,0.0,,False
ORD000118,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000119,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 8543.40, but actual settlement is 8165.40. Difference is 378.00.",8543.4,8165.4,378.0,,True
ORD000120,RECONCILED,,,4899.02,4899.02,0.0,,False
ORD000121,RECONCILED,,,1472.02,1472.02,0.0,,False
ORD000122,RECONCILED,,,1395.42,1395.42,0.0,,False
ORD000123,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 2499.00, but payment amount is 2200.90.",,,,,True
ORD000124,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1469.02, but actual settlement is 1203.02. Difference is 266.00.",1469.02,1203.02,266.0,,True
ORD000125,RECONCILED,,,3927.02,3927.02,0.0,,False
ORD000126,RECONCILED,,,13235.4,13235.4,0.0,,False
ORD000127,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000128,RECONCILED,,,3104.72,3104.72,0.0,,False
ORD000129,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000130,RECONCILED,,,11292.04,11292.04,0.0,,False
ORD000131,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000132,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 999.00, but payment amount is 840.97.",,,,,True
ORD000133,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000134,RECONCILED,,,9849.02,9849.02,0.0,,False
ORD000135,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000136,RECONCILED,,,293.62,293.62,0.0,,False
ORD000137,RECONCILED,,,1781.01,1781.01,0.0,,False
ORD000138,RECONCILED,,,293.62,293.62,0.0,,False
ORD000139,RECONCILED,,,7364.02,7364.02,0.0,,False
ORD000140,RECONCILED,,,12121.81,12121.81,0.0,,False
ORD000141,RECONCILED,,,2202.75,2202.75,0.0,,False
ORD000142,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 3611.30, but actual settlement is 2627.30. Difference is 984.00.",3611.3,2627.3,984.0,,True
ORD000143,RECONCILED,,,2939.02,2939.02,0.0,,False
ORD000144,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000145,RECONCILED,,,3959.01,3959.01,0.0,,False
ORD000146,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7540.12, but actual settlement is 6692.12. Difference is 848.00.",7540.12,6692.12,848.0,,True
ORD000147,RECONCILED,,,5879.02,5879.02,0.0,,False
ORD000148,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 494.01, but actual settlement is 393.01. Difference is 101.00.",494.01,393.01,101.0,,True
ORD000149,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 494.01, but actual settlement is 389.01. Difference is 105.00.",494.01,389.01,105.0,,True
ORD000150,RECONCILED,,,2945.02,2945.02,0.0,,False
ORD000151,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000152,RECONCILED,,,5550.72,5550.72,0.0,,False
ORD000153,RECONCILED,,,1472.02,1472.02,0.0,,False
ORD000154,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 9849.02, but actual settlement is 9154.02. Difference is 695.00.",9849.02,9154.02,695.0,,True
ORD000155,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000156,RECONCILED,,,2954.02,2954.02,0.0,,False
ORD000157,RECONCILED,,,9849.02,9849.02,0.0,,False
ORD000158,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000159,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7349.02, but actual settlement is 6512.02. Difference is 837.00.",7349.02,6512.02,837.0,,True
ORD000160,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7888.41, but actual settlement is 6956.41. Difference is 932.00.",7888.41,6956.41,932.0,,True
ORD000161,RECONCILED,,,1484.01,1484.01,0.0,,False
ORD000162,RECONCILED,,,2461.52,2461.52,0.0,,False
ORD000163,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000164,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 6124.73, but actual settlement is 5692.73. Difference is 432.00.",6124.73,5692.73,432.0,,True
ORD000165,RECONCILED,,,2454.02,2454.02,0.0,,False
ORD000166,RECONCILED,,,490.02,490.02,0.0,,False
ORD000167,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 2841.91, but actual settlement is 2258.91. Difference is 583.00.",2841.91,2258.91,583.0,,True
ORD000168,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000169,RECONCILED,,,6027.22,6027.22,0.0,,False
ORD000170,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 4899.02, but actual settlement is 4704.02. Difference is 195.00.",4899.02,4704.02,195.0,,True
ORD000171,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 2999.00, but payment amount is 2417.70.",,,,,True
ORD000172,RECONCILED,,,13527.36,13527.36,0.0,,False
ORD000173,RECONCILED,,,7424.01,7424.01,0.0,,False
ORD000174,RECONCILED,,,4924.02,4924.02,0.0,,False
ORD000175,RECONCILED,,,12586.14,12586.14,0.0,,False
ORD000176,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 5722.11, but actual settlement is 5240.11. Difference is 482.00.",5722.11,5240.11,482.0,,True
ORD000177,RECONCILED,,,9799.02,9799.02,0.0,,False
ORD000178,RECONCILED,,,2969.01,2969.01,0.0,,False
ORD000179,RECONCILED,,,2954.02,2954.02,0.0,,False
ORD000180,RECONCILED,,,7349.02,7349.02,0.0,,False
ORD000181,RECONCILED,,,3927.02,3927.02,0.0,,False
ORD000182,RECONCILED,,,9589.3,9589.3,0.0,,False
ORD000183,RECONCILED,,,9899.01,9899.01,0.0,,False
ORD000184,RECONCILED,,,3939.02,3939.02,0.0,,False
ORD000185,EXCEPTION,DUPLICATE_SETTLEMENT,2 settlement records found for this payment.,979.02,979.02,0.0,,True
ORD000186,RECONCILED,,,2969.01,2969.01,0.0,,False
ORD000187,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7929.90, but actual settlement is 7770.90. Difference is 159.00.",7929.9,7770.9,159.0,,True
ORD000188,RECONCILED,,,784.62,784.62,0.0,,False
ORD000189,RECONCILED,,,4899.02,4899.02,0.0,,False
ORD000190,RECONCILED,,,1963.02,1963.02,0.0,,False
ORD000191,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000192,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7386.52, but actual settlement is 6690.52. Difference is 696.00.",7386.52,6690.52,696.0,,True
ORD000193,RECONCILED,,,296.01,296.01,0.0,,False
ORD000194,RECONCILED,,,657.0,657.0,0.0,,False
ORD000195,RECONCILED,,,7349.02,7349.02,0.0,,False
ORD000196,RECONCILED,,,491.52,491.52,0.0,Settlement occurred 7 days after payment.,False
ORD000197,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000198,RECONCILED,,,3260.35,3260.35,0.0,,False
ORD000199,RECONCILED,,,2398.48,2398.48,0.0,,False
ORD000200,RECONCILED,,,491.52,491.52,0.0,,False
ORD000201,RECONCILED,,,787.02,787.02,0.0,,False
ORD000202,RECONCILED,,,2454.02,2454.02,0.0,Settlement occurred 7 days after payment.,False
ORD000203,RECONCILED,,,10969.94,10969.94,0.0,,False
ORD000204,RECONCILED,,,9849.02,9849.02,0.0,,False
ORD000205,RECONCILED,,,1979.01,1979.01,0.0,,False
ORD000206,RECONCILED,,,4924.02,4924.02,0.0,,False
ORD000207,RECONCILED,,,4899.02,4899.02,0.0,,False
ORD000208,RECONCILED,,,979.02,979.02,0.0,,False
ORD000209,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 989.01, but actual settlement is 863.01. Difference is 126.00.",989.01,863.01,126.0,,True
ORD000210,RECONCILED,,,783.02,783.02,0.0,,False
ORD000211,RECONCILED,,,5939.01,5939.01,0.0,,False
ORD000212,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 502.00, but payment amount is 409.39.",,,,,True
ORD000213,RECONCILED,,,9799.02,9799.02,0.0,,False
ORD000214,RECONCILED,,,7424.01,7424.01,0.0,,False
ORD000215,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1979.01, but actual settlement is 1606.01. Difference is 373.00.",1979.01,1606.01,373.0,,True
ORD000216,RECONCILED,,,787.02,787.02,0.0,,False
ORD000217,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 293.02, but actual settlement is 193.02. Difference is 100.00.",293.02,193.02,100.0,,True
ORD000218,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000219,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000220,RECONCILED,,,7424.01,7424.01,0.0,,False
ORD000221,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000222,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 12473.44, but actual settlement is 12011.44. Difference is 462.00.",12473.44,12011.44,462.0,,True
ORD000223,RECONCILED,,,5939.01,5939.01,0.0,,False
ORD000224,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 8052.38, but actual settlement is 7301.38. Difference is 751.00.",8052.38,7301.38,751.0,,True
ORD000225,RECONCILED,,,296.01,296.01,0.0,,False
ORD000226,RECONCILED,,,13263.03,13263.03,0.0,Settlement occurred 7 days after payment.,False
ORD000227,RECONCILED,,,7364.02,7364.02,0.0,,False
ORD000228,RECONCILED,,,2286.19,2286.19,0.0,,False
ORD000229,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1963.02, but actual settlement is 1399.02. Difference is 564.00.",1963.02,1399.02,564.0,,True
ORD000230,EXCEPTION,PAYMENT_NOT_SUCCESSFUL,Payment was not successful.,,,,,False
ORD000231,RECONCILED,,,1979.01,1979.01,0.0,,False
ORD000232,RECONCILED,,,14035.73,14035.73,0.0,,False
ORD000233,RECONCILED,,,783.02,783.02,0.0,,False
ORD000234,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 2969.01, but actual settlement is 2628.01. Difference is 341.00.",2969.01,2628.01,341.0,,True
ORD000235,RECONCILED,,,791.01,791.01,0.0,,False
ORD000236,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 8952.89, but actual settlement is 8545.89. Difference is 407.00.",8952.89,8545.89,407.0,,True
ORD000237,RECONCILED,,,10253.43,10253.43,0.0,,False
ORD000238,RECONCILED,,,2454.02,2454.02,0.0,,False
ORD000239,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000240,EXCEPTION,PAYMENT_NOT_SUCCESSFUL,Payment was not successful.,,,,,False
ORD000241,RECONCILED,,,800.66,800.66,0.0,,False
ORD000242,RECONCILED,,,6803.28,6803.28,0.0,,False
ORD000243,RECONCILED,,,787.02,787.02,0.0,,False
ORD000244,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000245,RECONCILED,,,4899.02,4899.02,0.0,,False
ORD000246,RECONCILED,,,7364.02,7364.02,0.0,,False
ORD000247,RECONCILED,,,2939.02,2939.02,0.0,Settlement occurred 4 days after payment.,False
ORD000248,RECONCILED,,,989.01,989.01,0.0,,False
ORD000249,RECONCILED,,,13407.25,13407.25,0.0,,False
ORD000250,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 783.02, but actual settlement is 629.02. Difference is 154.00.",783.02,629.02,154.0,,True
ORD000251,RECONCILED,,,3939.02,3939.02,0.0,Settlement occurred 6 days after payment.,False
ORD000252,RECONCILED,,,296.01,296.01,0.0,,False
ORD000253,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 6704.11, but actual settlement is 6158.11. Difference is 546.00.",6704.11,6158.11,546.0,,True
ORD000254,RECONCILED,,,1963.02,1963.02,0.0,,False
ORD000255,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 4368.87, but actual settlement is 3755.87. Difference is 613.00.",4368.87,3755.87,613.0,,True
ORD000256,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 6288.66, but actual settlement is 5461.66. Difference is 827.00.",6288.66,5461.66,827.0,,True
ORD000257,RECONCILED,,,2969.01,2969.01,0.0,,False
ORD000258,RECONCILED,,,787.02,787.02,0.0,,False
ORD000259,RECONCILED,,,1469.02,1469.02,0.0,,False
ORD000260,RECONCILED,,,293.02,293.02,0.0,,False
ORD000261,RECONCILED,,,981.02,981.02,0.0,,False
ORD000262,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000263,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000264,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000265,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 494.01, but actual settlement is 392.01. Difference is 102.00.",494.01,392.01,102.0,,True
ORD000266,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000267,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7349.02, but actual settlement is 6469.02. Difference is 880.00.",7349.02,6469.02,880.0,,True
ORD000268,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 2454.02, but actual settlement is 2179.02. Difference is 275.00.",2454.02,2179.02,275.0,,True
ORD000269,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 7349.02, but actual settlement is 7126.02. Difference is 223.00.",7349.02,7126.02,223.0,,True
ORD000270,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000271,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 490.02, but actual settlement is 348.02. Difference is 142.00.",490.02,348.02,142.0,,True
ORD000272,RECONCILED,,,490.02,490.02,0.0,,False
ORD000273,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000274,RECONCILED,,,3959.01,3959.01,0.0,,False
ORD000275,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000276,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000277,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000278,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000279,RECONCILED,,,293.62,293.62,0.0,,False
ORD000280,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000281,RECONCILED,,,1472.02,1472.02,0.0,,False
ORD000282,RECONCILED,,,9955.4,9955.4,0.0,,False
ORD000283,RECONCILED,,,1476.52,1476.52,0.0,,False
ORD000284,RECONCILED,,,9899.01,9899.01,0.0,,False
ORD000285,RECONCILED,,,10108.7,10108.7,0.0,,False
ORD000286,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 5909.02, but actual settlement is 5195.02. Difference is 714.00.",5909.02,5195.02,714.0,,True
ORD000287,RECONCILED,,,5935.05,5935.05,0.0,,False
ORD000288,RECONCILED,,,14049.47,14049.47,0.0,,False
ORD000289,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 783.02, but actual settlement is 675.02. Difference is 108.00.",783.02,675.02,108.0,,True
ORD000290,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 979.02, but actual settlement is 840.02. Difference is 139.00.",979.02,840.02,139.0,,True
ORD000291,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 13199.99, but actual settlement is 13035.99. Difference is 164.00.",13199.99,13035.99,164.0,,True
ORD000292,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000293,RECONCILED,,,10516.38,10516.38,0.0,,False
ORD000294,RECONCILED,,,3927.02,3927.02,0.0,,False
ORD000295,RECONCILED,,,12638.08,12638.08,0.0,,False
ORD000296,RECONCILED,,,9023.6,9023.6,0.0,,False
ORD000297,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000298,RECONCILED,,,4949.01,4949.01,0.0,,False
ORD000299,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000300,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 3959.01, but actual settlement is 3162.01. Difference is 797.00.",3959.01,3162.01,797.0,,True
